name,race,current_race_horse,next_race_horse,timestamp,timestamp_second,odd
DBL,7,1,1,"2021/05/18, 15:05:02",1621321502.098911,64.0
DBL,7,1,2,"2021/05/18, 15:05:02",1621321502.098911,705.0
DBL,7,1,3,"2021/05/18, 15:05:02",1621321502.098911,50.0
DBL,7,1,4,"2021/05/18, 15:05:02",1621321502.098911,201.0
DBL,7,1,5,"2021/05/18, 15:05:02",1621321502.098911,74.0
DBL,7,1,6,"2021/05/18, 15:05:02",1621321502.098911,100.0
DBL,7,1,7,"2021/05/18, 15:05:02",1621321502.098911,108.0
DBL,7,1,8,"2021/05/18, 15:05:02",1621321502.098911,156.0
DBL,7,1,9,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,1,10,"2021/05/18, 15:05:02",1621321502.098911,235.0
DBL,7,1,11,"2021/05/18, 15:05:02",1621321502.098911,128.0
DBL,7,2,1,"2021/05/18, 15:05:02",1621321502.098911,58.0
DBL,7,2,2,"2021/05/18, 15:05:02",1621321502.098911,705.0
DBL,7,2,3,"2021/05/18, 15:05:02",1621321502.098911,42.0
DBL,7,2,4,"2021/05/18, 15:05:02",1621321502.098911,74.0
DBL,7,2,5,"2021/05/18, 15:05:02",1621321502.098911,70.0
DBL,7,2,6,"2021/05/18, 15:05:02",1621321502.098911,176.0
DBL,7,2,7,"2021/05/18, 15:05:02",1621321502.098911,78.0
DBL,7,2,8,"2021/05/18, 15:05:02",1621321502.098911,108.0
DBL,7,2,9,"2021/05/18, 15:05:02",1621321502.098911,470.0
DBL,7,2,10,"2021/05/18, 15:05:02",1621321502.098911,88.0
DBL,7,2,11,"2021/05/18, 15:05:02",1621321502.098911,235.0
DBL,7,3,1,"2021/05/18, 15:05:02",1621321502.098911,235.0
DBL,7,3,2,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,3,3,"2021/05/18, 15:05:02",1621321502.098911,176.0
DBL,7,3,4,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,3,5,"2021/05/18, 15:05:02",1621321502.098911,176.0
DBL,7,3,6,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,3,7,"2021/05/18, 15:05:02",1621321502.098911,282.0
DBL,7,3,8,"2021/05/18, 15:05:02",1621321502.098911,705.0
DBL,7,3,9,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,3,10,"2021/05/18, 15:05:02",1621321502.098911,470.0
DBL,7,3,11,"2021/05/18, 15:05:02",1621321502.098911,470.0
DBL,7,4,1,"2021/05/18, 15:05:02",1621321502.098911,56.0
DBL,7,4,2,"2021/05/18, 15:05:02",1621321502.098911,156.0
DBL,7,4,3,"2021/05/18, 15:05:02",1621321502.098911,128.0
DBL,7,4,4,"2021/05/18, 15:05:02",1621321502.098911,82.0
DBL,7,4,5,"2021/05/18, 15:05:02",1621321502.098911,54.0
DBL,7,4,6,"2021/05/18, 15:05:02",1621321502.098911,176.0
DBL,7,4,7,"2021/05/18, 15:05:02",1621321502.098911,141.0
DBL,7,4,8,"2021/05/18, 15:05:02",1621321502.098911,201.0
DBL,7,4,9,"2021/05/18, 15:05:02",1621321502.098911,705.0
DBL,7,4,10,"2021/05/18, 15:05:02",1621321502.098911,201.0
DBL,7,4,11,"2021/05/18, 15:05:02",1621321502.098911,128.0
DBL,7,5,1,"2021/05/18, 15:05:02",1621321502.098911,201.0
DBL,7,5,2,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,5,3,"2021/05/18, 15:05:02",1621321502.098911,282.0
DBL,7,5,4,"2021/05/18, 15:05:02",1621321502.098911,705.0
DBL,7,5,5,"2021/05/18, 15:05:02",1621321502.098911,156.0
DBL,7,5,6,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,5,7,"2021/05/18, 15:05:02",1621321502.098911,352.0
DBL,7,5,8,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,5,9,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,5,10,"2021/05/18, 15:05:02",1621321502.098911,705.0
DBL,7,5,11,"2021/05/18, 15:05:02",1621321502.098911,705.0
DBL,7,6,1,"2021/05/18, 15:05:02",1621321502.098911,61.0
DBL,7,6,2,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,7,6,3,"2021/05/18, 15:05:02",1621321502.098911,88.0
DBL,7,6,4,"2021/05/18, 15:05:02",1621321502.098911,235.0
