name,race,current_race_horse,next_race_horse,timestamp,timestamp_second,odd
DBL,6,1,1,"2021/05/18, 15:05:02",1621321502.098911,79.0
DBL,6,1,2,"2021/05/18, 15:05:02",1621321502.098911,75.0
DBL,6,1,3,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,1,4,"2021/05/18, 15:05:02",1621321502.098911,68.0
DBL,6,1,5,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,1,6,"2021/05/18, 15:05:02",1621321502.098911,119.0
DBL,6,1,7,"2021/05/18, 15:05:02",1621321502.098911,15.0
DBL,6,1,8,"2021/05/18, 15:05:02",1621321502.098911,178.0
DBL,6,1,9,"2021/05/18, 15:05:02",1621321502.098911,204.0
DBL,6,1,10,"2021/05/18, 15:05:02",1621321502.098911,65.0
DBL,6,1,11,"2021/05/18, 15:05:02",1621321502.098911,57.0
DBL,6,2,1,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,2,2,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,2,3,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,2,4,"2021/05/18, 15:05:02",1621321502.098911,238.0
DBL,6,2,5,"2021/05/18, 15:05:02",1621321502.098911,204.0
DBL,6,2,6,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,2,7,"2021/05/18, 15:05:02",1621321502.098911,102.0
DBL,6,2,8,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,2,9,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,2,10,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,2,11,"2021/05/18, 15:05:02",1621321502.098911,285.0
DBL,6,3,1,"2021/05/18, 15:05:02",1621321502.098911,285.0
DBL,6,3,2,"2021/05/18, 15:05:02",1621321502.098911,110.0
DBL,6,3,3,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,3,4,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,3,5,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,3,6,"2021/05/18, 15:05:02",1621321502.098911,285.0
DBL,6,3,7,"2021/05/18, 15:05:02",1621321502.098911,37.0
DBL,6,3,8,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,3,9,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,3,10,"2021/05/18, 15:05:02",1621321502.098911,204.0
DBL,6,3,11,"2021/05/18, 15:05:02",1621321502.098911,238.0
DBL,6,4,1,"2021/05/18, 15:05:02",1621321502.098911,102.0
DBL,6,4,2,"2021/05/18, 15:05:02",1621321502.098911,37.0
DBL,6,4,3,"2021/05/18, 15:05:02",1621321502.098911,285.0
DBL,6,4,4,"2021/05/18, 15:05:02",1621321502.098911,95.0
DBL,6,4,5,"2021/05/18, 15:05:02",1621321502.098911,238.0
DBL,6,4,6,"2021/05/18, 15:05:02",1621321502.098911,143.0
DBL,6,4,7,"2021/05/18, 15:05:02",1621321502.098911,30.0
DBL,6,4,8,"2021/05/18, 15:05:02",1621321502.098911,204.0
DBL,6,4,9,"2021/05/18, 15:05:02",1621321502.098911,158.0
DBL,6,4,10,"2021/05/18, 15:05:02",1621321502.098911,40.0
DBL,6,4,11,"2021/05/18, 15:05:02",1621321502.098911,40.0
DBL,6,5,1,"2021/05/18, 15:05:02",1621321502.098911,39.0
DBL,6,5,2,"2021/05/18, 15:05:02",1621321502.098911,95.0
DBL,6,5,3,"2021/05/18, 15:05:02",1621321502.098911,357.0
DBL,6,5,4,"2021/05/18, 15:05:02",1621321502.098911,84.0
DBL,6,5,5,"2021/05/18, 15:05:02",1621321502.098911,285.0
DBL,6,5,6,"2021/05/18, 15:05:02",1621321502.098911,119.0
DBL,6,5,7,"2021/05/18, 15:05:02",1621321502.098911,14.0
DBL,6,5,8,"2021/05/18, 15:05:02",1621321502.098911,30.0
DBL,6,5,9,"2021/05/18, 15:05:02",1621321502.098911,59.0
DBL,6,5,10,"2021/05/18, 15:05:02",1621321502.098911,36.0
DBL,6,5,11,"2021/05/18, 15:05:02",1621321502.098911,31.0
DBL,6,6,1,"2021/05/18, 15:05:02",1621321502.098911,89.0
DBL,6,6,2,"2021/05/18, 15:05:02",1621321502.098911,79.0
DBL,6,6,3,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,6,4,"2021/05/18, 15:05:02",1621321502.098911,89.0
DBL,6,6,5,"2021/05/18, 15:05:02",1621321502.098911,238.0
DBL,6,6,6,"2021/05/18, 15:05:02",1621321502.098911,143.0
DBL,6,6,7,"2021/05/18, 15:05:02",1621321502.098911,16.0
DBL,6,6,8,"2021/05/18, 15:05:02",1621321502.098911,65.0
DBL,6,6,9,"2021/05/18, 15:05:02",1621321502.098911,238.0
DBL,6,6,10,"2021/05/18, 15:05:02",1621321502.098911,143.0
DBL,6,6,11,"2021/05/18, 15:05:02",1621321502.098911,31.0
DBL,6,7,1,"2021/05/18, 15:05:02",1621321502.098911,33.0
DBL,6,7,2,"2021/05/18, 15:05:02",1621321502.098911,27.0
DBL,6,7,3,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,7,4,"2021/05/18, 15:05:02",1621321502.098911,68.0
DBL,6,7,5,"2021/05/18, 15:05:02",1621321502.098911,357.0
DBL,6,7,6,"2021/05/18, 15:05:02",1621321502.098911,102.0
DBL,6,7,7,"2021/05/18, 15:05:02",1621321502.098911,5.0
DBL,6,7,8,"2021/05/18, 15:05:02",1621321502.098911,29.0
DBL,6,7,9,"2021/05/18, 15:05:02",1621321502.098911,55.0
DBL,6,7,10,"2021/05/18, 15:05:02",1621321502.098911,29.0
DBL,6,7,11,"2021/05/18, 15:05:02",1621321502.098911,18.0
DBL,6,8,1,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,8,2,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,8,3,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,8,4,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,8,5,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,8,6,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,8,7,"2021/05/18, 15:05:02",1621321502.098911,158.0
DBL,6,8,8,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,8,9,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,8,10,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,8,11,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,9,1,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,9,2,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,9,3,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,9,4,"2021/05/18, 15:05:02",1621321502.098911,357.0
DBL,6,9,5,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,9,6,"2021/05/18, 15:05:02",1621321502.098911,110.0
DBL,6,9,7,"2021/05/18, 15:05:02",1621321502.098911,57.0
DBL,6,9,8,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,9,9,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,9,10,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,9,11,"2021/05/18, 15:05:02",1621321502.098911,357.0
DBL,6,10,1,"2021/05/18, 15:05:02",1621321502.098911,110.0
DBL,6,10,2,"2021/05/18, 15:05:02",1621321502.098911,204.0
DBL,6,10,3,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,10,4,"2021/05/18, 15:05:02",1621321502.098911,158.0
DBL,6,10,5,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,10,6,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,10,7,"2021/05/18, 15:05:02",1621321502.098911,38.0
DBL,6,10,8,"2021/05/18, 15:05:02",1621321502.098911,110.0
DBL,6,10,9,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,10,10,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,6,10,11,"2021/05/18, 15:05:02",1621321502.098911,71.0
DBL,6,11,1,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,11,2,"2021/05/18, 15:05:02",1621321502.098911,357.0
DBL,6,11,3,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,11,4,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,11,5,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,11,6,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,11,7,"2021/05/18, 15:05:02",1621321502.098911,89.0
DBL,6,11,8,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,11,9,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,11,10,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,11,11,"2021/05/18, 15:05:02",1621321502.098911,238.0
DBL,6,12,1,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,12,2,"2021/05/18, 15:05:02",1621321502.098911,285.0
DBL,6,12,3,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,12,4,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,12,5,"2021/05/18, 15:05:02",1621321502.098911,476.0
DBL,6,12,6,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,12,7,"2021/05/18, 15:05:02",1621321502.098911,119.0
DBL,6,12,8,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,12,9,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,12,10,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,6,12,11,"2021/05/18, 15:05:02",1621321502.098911,714.0
DBL,6,1,1,"2021/05/18, 18:30:01",1621333801.686031,88.0
DBL,6,1,2,"2021/05/18, 18:30:01",1621333801.686031,78.0
DBL,6,1,3,"2021/05/18, 18:30:01",1621333801.686031,687.0
DBL,6,1,4,"2021/05/18, 18:30:01",1621333801.686031,83.0
DBL,6,1,5,"2021/05/18, 18:30:01",1621333801.686031,916.0
DBL,6,1,6,"2021/05/18, 18:30:01",1621333801.686031,72.0
DBL,6,1,7,"2021/05/18, 18:30:01",1621333801.686031,14.0
DBL,6,1,8,"2021/05/18, 18:30:01",1621333801.686031,196.0
DBL,6,1,9,"2021/05/18, 18:30:01",1621333801.686031,250.0
DBL,6,1,10,"2021/05/18, 18:30:01",1621333801.686031,68.0
DBL,6,1,11,"2021/05/18, 18:30:01",1621333801.686031,70.0
DBL,6,2,1,"2021/05/18, 18:30:01",1621333801.686031,999.0
DBL,6,2,2,"2021/05/18, 18:30:01",1621333801.686031,999.0
DBL,6,2,3,"2021/05/18, 18:30:01",1621333801.686031,916.0
DBL,6,2,4,"2021/05/18, 18:30:01",1621333801.686031,392.0
DBL,6,2,5,"2021/05/18, 18:30:01",1621333801.686031,343.0
DBL,6,2,6,"2021/05/18, 18:30:01",1621333801.686031,392.0
DBL,6,2,7,"2021/05/18, 18:30:01",1621333801.686031,94.0
DBL,6,2,8,"2021/05/18, 18:30:01",1621333801.686031,999.0
DBL,6,2,9,"2021/05/18, 18:30:01",1621333801.686031,999.0
DBL,6,2,10,"2021/05/18, 18:30:01",1621333801.686031,916.0
DBL,6,2,11,"2021/05/18, 18:30:01",1621333801.686031,392.0
DBL,6,3,1,"2021/05/18, 18:30:01",1621333801.686031,85.0
DBL,6,3,2,"2021/05/18, 18:30:01",1621333801.686031,130.0
