name,race,current_race_horse,next_race_horse,timestamp,timestamp_second,odd
DBL,8,1,1,"2021/05/18, 15:05:02",1621321502.098911,69.0
DBL,8,1,2,"2021/05/18, 15:05:02",1621321502.098911,24.0
DBL,8,1,3,"2021/05/18, 15:05:02",1621321502.098911,43.0
DBL,8,1,4,"2021/05/18, 15:05:02",1621321502.098911,33.0
DBL,8,1,5,"2021/05/18, 15:05:02",1621321502.098911,391.0
DBL,8,1,6,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,8,1,7,"2021/05/18, 15:05:02",1621321502.098911,150.0
DBL,8,1,8,"2021/05/18, 15:05:02",1621321502.098911,108.0
DBL,8,1,9,"2021/05/18, 15:05:02",1621321502.098911,65.0
DBL,8,1,10,"2021/05/18, 15:05:02",1621321502.098911,10.0
DBL,8,1,11,"2021/05/18, 15:05:02",1621321502.098911,115.0
DBL,8,1,12,"2021/05/18, 15:05:02",1621321502.098911,178.0
DBL,8,2,1,"2021/05/18, 15:05:02",1621321502.098911,652.0
DBL,8,2,2,"2021/05/18, 15:05:02",1621321502.098911,489.0
DBL,8,2,3,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,2,4,"2021/05/18, 15:05:02",1621321502.098911,489.0
DBL,8,2,5,"2021/05/18, 15:05:02",1621321502.098911,326.0
DBL,8,2,6,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,2,7,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,8,2,8,"2021/05/18, 15:05:02",1621321502.098911,489.0
DBL,8,2,9,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,2,10,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,8,2,11,"2021/05/18, 15:05:02",1621321502.098911,652.0
DBL,8,2,12,"2021/05/18, 15:05:02",1621321502.098911,391.0
DBL,8,3,1,"2021/05/18, 15:05:02",1621321502.098911,217.0
DBL,8,3,2,"2021/05/18, 15:05:02",1621321502.098911,31.0
DBL,8,3,3,"2021/05/18, 15:05:02",1621321502.098911,59.0
DBL,8,3,4,"2021/05/18, 15:05:02",1621321502.098911,67.0
DBL,8,3,5,"2021/05/18, 15:05:02",1621321502.098911,489.0
DBL,8,3,6,"2021/05/18, 15:05:02",1621321502.098911,163.0
DBL,8,3,7,"2021/05/18, 15:05:02",1621321502.098911,72.0
DBL,8,3,8,"2021/05/18, 15:05:02",1621321502.098911,97.0
DBL,8,3,9,"2021/05/18, 15:05:02",1621321502.098911,103.0
DBL,8,3,10,"2021/05/18, 15:05:02",1621321502.098911,16.0
DBL,8,3,11,"2021/05/18, 15:05:02",1621321502.098911,81.0
DBL,8,3,12,"2021/05/18, 15:05:02",1621321502.098911,279.0
DBL,8,4,1,"2021/05/18, 15:05:02",1621321502.098911,150.0
DBL,8,4,2,"2021/05/18, 15:05:02",1621321502.098911,67.0
DBL,8,4,3,"2021/05/18, 15:05:02",1621321502.098911,122.0
DBL,8,4,4,"2021/05/18, 15:05:02",1621321502.098911,55.0
DBL,8,4,5,"2021/05/18, 15:05:02",1621321502.098911,326.0
DBL,8,4,6,"2021/05/18, 15:05:02",1621321502.098911,150.0
DBL,8,4,7,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,8,4,8,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,8,4,9,"2021/05/18, 15:05:02",1621321502.098911,108.0
DBL,8,4,10,"2021/05/18, 15:05:02",1621321502.098911,18.0
DBL,8,4,11,"2021/05/18, 15:05:02",1621321502.098911,122.0
DBL,8,4,12,"2021/05/18, 15:05:02",1621321502.098911,244.0
DBL,8,5,1,"2021/05/18, 15:05:02",1621321502.098911,81.0
DBL,8,5,2,"2021/05/18, 15:05:02",1621321502.098911,17.0
DBL,8,5,3,"2021/05/18, 15:05:02",1621321502.098911,32.0
DBL,8,5,4,"2021/05/18, 15:05:02",1621321502.098911,31.0
DBL,8,5,5,"2021/05/18, 15:05:02",1621321502.098911,195.0
DBL,8,5,6,"2021/05/18, 15:05:02",1621321502.098911,150.0
DBL,8,5,7,"2021/05/18, 15:05:02",1621321502.098911,57.0
DBL,8,5,8,"2021/05/18, 15:05:02",1621321502.098911,89.0
DBL,8,5,9,"2021/05/18, 15:05:02",1621321502.098911,48.0
DBL,8,5,10,"2021/05/18, 15:05:02",1621321502.098911,11.0
DBL,8,5,11,"2021/05/18, 15:05:02",1621321502.098911,43.0
DBL,8,5,12,"2021/05/18, 15:05:02",1621321502.098911,178.0
DBL,8,6,1,"2021/05/18, 15:05:02",1621321502.098911,279.0
DBL,8,6,2,"2021/05/18, 15:05:02",1621321502.098911,122.0
DBL,8,6,3,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,8,6,4,"2021/05/18, 15:05:02",1621321502.098911,279.0
DBL,8,6,5,"2021/05/18, 15:05:02",1621321502.098911,652.0
DBL,8,6,6,"2021/05/18, 15:05:02",1621321502.098911,178.0
DBL,8,6,7,"2021/05/18, 15:05:02",1621321502.098911,195.0
DBL,8,6,8,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,6,9,"2021/05/18, 15:05:02",1621321502.098911,163.0
DBL,8,6,10,"2021/05/18, 15:05:02",1621321502.098911,93.0
DBL,8,6,11,"2021/05/18, 15:05:02",1621321502.098911,244.0
DBL,8,6,12,"2021/05/18, 15:05:02",1621321502.098911,652.0
DBL,8,7,1,"2021/05/18, 15:05:02",1621321502.098911,244.0
DBL,8,7,2,"2021/05/18, 15:05:02",1621321502.098911,63.0
DBL,8,7,3,"2021/05/18, 15:05:02",1621321502.098911,81.0
DBL,8,7,4,"2021/05/18, 15:05:02",1621321502.098911,72.0
DBL,8,7,5,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,7,6,"2021/05/18, 15:05:02",1621321502.098911,489.0
DBL,8,7,7,"2021/05/18, 15:05:02",1621321502.098911,46.0
DBL,8,7,8,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,8,7,9,"2021/05/18, 15:05:02",1621321502.098911,115.0
DBL,8,7,10,"2021/05/18, 15:05:02",1621321502.098911,12.0
DBL,8,7,11,"2021/05/18, 15:05:02",1621321502.098911,391.0
DBL,8,7,12,"2021/05/18, 15:05:02",1621321502.098911,326.0
DBL,8,8,1,"2021/05/18, 15:05:02",1621321502.098911,139.0
DBL,8,8,2,"2021/05/18, 15:05:02",1621321502.098911,93.0
DBL,8,8,3,"2021/05/18, 15:05:02",1621321502.098911,67.0
DBL,8,8,4,"2021/05/18, 15:05:02",1621321502.098911,178.0
DBL,8,8,5,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,8,6,"2021/05/18, 15:05:02",1621321502.098911,178.0
DBL,8,8,7,"2021/05/18, 15:05:02",1621321502.098911,139.0
DBL,8,8,8,"2021/05/18, 15:05:02",1621321502.098911,139.0
DBL,8,8,9,"2021/05/18, 15:05:02",1621321502.098911,63.0
DBL,8,8,10,"2021/05/18, 15:05:02",1621321502.098911,32.0
DBL,8,8,11,"2021/05/18, 15:05:02",1621321502.098911,150.0
DBL,8,8,12,"2021/05/18, 15:05:02",1621321502.098911,391.0
DBL,8,9,1,"2021/05/18, 15:05:02",1621321502.098911,652.0
DBL,8,9,2,"2021/05/18, 15:05:02",1621321502.098911,652.0
DBL,8,9,3,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,8,9,4,"2021/05/18, 15:05:02",1621321502.098911,489.0
DBL,8,9,5,"2021/05/18, 15:05:02",1621321502.098911,279.0
DBL,8,9,6,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,9,7,"2021/05/18, 15:05:02",1621321502.098911,652.0
DBL,8,9,8,"2021/05/18, 15:05:02",1621321502.098911,999.0
DBL,8,9,9,"2021/05/18, 15:05:02",1621321502.098911,391.0
DBL,8,9,10,"2021/05/18, 15:05:02",1621321502.098911,150.0
DBL,8,9,11,"2021/05/18, 15:05:02",1621321502.098911,391.0
DBL,8,9,12,"2021/05/18, 15:05:02",1621321502.098911,652.0
DBL,8,10,1,"2021/05/18, 15:05:02",1621321502.098911,489.0
DBL,8,10,2,"2021/05/18, 15:05:02",1621321502.098911,103.0
DBL,8,10,3,"2021/05/18, 15:05:02",1621321502.098911,217.0
DBL,8,10,4,"2021/05/18, 15:05:02",1621321502.098911,178.0
DBL,8,10,5,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,10,6,"2021/05/18, 15:05:02",1621321502.098911,139.0
DBL,8,10,7,"2021/05/18, 15:05:02",1621321502.098911,150.0
DBL,8,10,8,"2021/05/18, 15:05:02",1621321502.098911,279.0
DBL,8,10,9,"2021/05/18, 15:05:02",1621321502.098911,163.0
DBL,8,10,10,"2021/05/18, 15:05:02",1621321502.098911,69.0
DBL,8,10,11,"2021/05/18, 15:05:02",1621321502.098911,178.0
DBL,8,10,12,"2021/05/18, 15:05:02",1621321502.098911,195.0
DBL,8,11,1,"2021/05/18, 15:05:02",1621321502.098911,391.0
DBL,8,11,2,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,8,11,3,"2021/05/18, 15:05:02",1621321502.098911,217.0
DBL,8,11,4,"2021/05/18, 15:05:02",1621321502.098911,391.0
DBL,8,11,5,"2021/05/18, 15:05:02",1621321502.098911,978.0
DBL,8,11,6,"2021/05/18, 15:05:02",1621321502.098911,244.0
DBL,8,11,7,"2021/05/18, 15:05:02",1621321502.098911,489.0
DBL,8,11,8,"2021/05/18, 15:05:02",1621321502.098911,279.0
DBL,8,11,9,"2021/05/18, 15:05:02",1621321502.098911,217.0
DBL,8,11,10,"2021/05/18, 15:05:02",1621321502.098911,130.0
DBL,8,11,11,"2021/05/18, 15:05:02",1621321502.098911,85.0
DBL,8,11,12,"2021/05/18, 15:05:02",1621321502.098911,279.0
DBL,8,1,1,"2021/05/18, 18:30:01",1621333801.686031,80.0
DBL,8,1,2,"2021/05/18, 18:30:01",1621333801.686031,18.0
DBL,8,1,3,"2021/05/18, 18:30:01",1621333801.686031,65.0
DBL,8,1,4,"2021/05/18, 18:30:01",1621333801.686031,41.0
DBL,8,1,5,"2021/05/18, 18:30:01",1621333801.686031,505.0
DBL,8,1,6,"2021/05/18, 18:30:01",1621333801.686031,147.0
DBL,8,1,7,"2021/05/18, 18:30:01",1621333801.686031,160.0
DBL,8,1,8,"2021/05/18, 18:30:01",1621333801.686031,122.0
DBL,8,1,9,"2021/05/18, 18:30:01",1621333801.686031,58.0
DBL,8,1,10,"2021/05/18, 18:30:01",1621333801.686031,7.2
DBL,8,1,11,"2021/05/18, 18:30:01",1621333801.686031,98.0
DBL,8,1,12,"2021/05/18, 18:30:01",1621333801.686031,196.0
DBL,8,2,1,"2021/05/18, 18:30:01",1621333801.686031,590.0
DBL,8,2,2,"2021/05/18, 18:30:01",1621333801.686031,208.0
DBL,8,2,3,"2021/05/18, 18:30:01",1621333801.686031,999.0
DBL,8,2,4,"2021/05/18, 18:30:01",1621333801.686031,295.0
DBL,8,2,5,"2021/05/18, 18:30:01",1621333801.686031,393.0
DBL,8,2,6,"2021/05/18, 18:30:01",1621333801.686031,885.0
