date,race_nos,time,last_time
20210519,1,18:45,"2021/05/18, 15:05:00"
20210519,2,19:15,"2021/05/18, 15:05:00"
20210519,3,19:45,"2021/05/18, 15:05:00"
20210519,4,20:15,"2021/05/18, 15:05:00"
20210519,5,20:45,"2021/05/18, 15:05:00"
20210519,6,21:15,"2021/05/18, 15:05:00"
20210519,7,21:45,"2021/05/18, 15:05:00"
20210519,8,22:15,"2021/05/18, 15:05:00"
20210519,9,22:50,"2021/05/18, 15:05:00"
